FullNameJP,FirstName,LastName,Birthday,HaloImageURL,IconImageURL
銀鏡イオリ,Iori,Shiromi,1108,https://bluearchive.wikiru.jp/attach2/48414C4FE4B880E8A6A7_48414C4F5FE382A4E382AAE383AA2E706E67.png,https://bluearchive.wikiru.jp/attach2/696D67_E382A4E382AAE383AA5F69636F6E2E706E67.png
火宮チナツ,Chinatsu,Hinomiya,0822,https://bluearchive.wikiru.jp/attach2/48414C4FE4B880E8A6A7_48414C4F5FE38381E3838AE383842E706E67.png,https://bluearchive.wikiru.jp/attach2/696D67_E38381E3838AE383845F69636F6E2E706E67.png
陸八魔アル,Aru,Rikuhachima,0312,https://bluearchive.wikiru.jp/attach2/48414C4FE4B880E8A6A7_48414C4F5FE382A2E383AB2E706E67.png,https://bluearchive.wikiru.jp/attach2/696D67_E382A2E383AB5F69636F6E2E706E67.png
鬼方カヨコ,Kayoko,Onikata,0317,https://bluearchive.wikiru.jp/attach2/48414C4FE4B880E8A6A7_48414C4F5FE382ABE383A8E382B32E706E67.png,https://bluearchive.wikiru.jp/attach2/696D67_E382ABE383A8E382B35F69636F6E2E706E67.png
浅黄ムツキ,Mutsuki,Asagi,0729,https://bluearchive.wikiru.jp/attach2/48414C4FE4B880E8A6A7_48414C4F5FE383A0E38384E382AD76322E706E67.png,https://bluearchive.wikiru.jp/attach2/696D67_E383A0E38384E382AD5F69636F6E2E706E67.png
伊草ハルカ,Haruka,Igusa,0513,https://bluearchive.wikiru.jp/attach2/48414C4FE4B880E8A6A7_48414C4F5FE3838FE383ABE382AB2E706E67.png,https://bluearchive.wikiru.jp/attach2/696D67_E3838FE383ABE382AB5F69636F6E2E706E67.png
黒舘ハルナ,Haruna,Kurodate,0301,https://bluearchive.wikiru.jp/attach2/48414C4FE4B880E8A6A7_48414C4F5FE3838FE383ABE3838A2E706E67.png,https://bluearchive.wikiru.jp/attach2/696D67_E3838FE383ABE3838A5F69636F6E2E706E67.png
獅子堂イズミ,Izumi,Shishidou,0511,https://bluearchive.wikiru.jp/attach2/48414C4FE4B880E8A6A7_48414C4F5FE382A4E382BAE3839F2E706E67.png,https://bluearchive.wikiru.jp/attach2/696D67_E382A4E382BAE3839F5F69636F6E2E706E67.png
鰐渕アカリ,Akari,Wanibuchi,1209,https://bluearchive.wikiru.jp/attach2/48414C4FE4B880E8A6A7_48414C4F5FE382A2E382ABE383AA2E706E67.png,https://bluearchive.wikiru.jp/attach2/696D67_E382A2E382ABE383AA5F69636F6E2E706E67.png
赤司ジュンコ,Junko,Akashi,1227,https://bluearchive.wikiru.jp/attach2/48414C4FE4B880E8A6A7_48414C4F5FE382B8E383A5E383B3E382B32E706E67.png,https://bluearchive.wikiru.jp/attach2/696D67_E382B8E383A5E383B3E382B35F69636F6E2E706E67.png
氷室セナ,Sena,Himuro,0407,https://bluearchive.wikiru.jp/attach2/48414C4FE4B880E8A6A7_48414C4F5FE382BBE3838A2E706E67.png,https://bluearchive.wikiru.jp/attach2/696D67_E382BBE3838A5F69636F6E2E706E67.png
愛清フウカ,Fuuka,Aikiyo,0430,https://bluearchive.wikiru.jp/attach2/48414C4FE4B880E8A6A7_48414C4F5FE38395E382A6E382AB2E706E67.png,https://bluearchive.wikiru.jp/attach2/696D67_E38395E382A6E382AB5F69636F6E2E706E67.png
牛牧ジュリ,Juri,Ushimaki,1020,https://bluearchive.wikiru.jp/attach2/48414C4FE4B880E8A6A7_48414C4F5FE382B8E383A5E383AA2E706E67.png,https://bluearchive.wikiru.jp/attach2/696D67_E382B8E383A5E383AA5F69636F6E2E706E67.png
下倉メグ,Megu,Shimokura,0425,https://bluearchive.wikiru.jp/attach2/4E504348414C4FE4B880E8A6A7_48414C4F5FE383A1E382B05FE4BBAE2E706E67.png,https://bluearchive.wikiru.jp/attach2/696D67_E383A1E382B05F69636F6E2E706E67.png
棗イロハ,Iroha,Natsume,1116,https://bluearchive.wikiru.jp/attach2/48414C4FE4B880E8A6A7_48414C4F5FE382A4E383ADE3838F2E706E67.png,https://bluearchive.wikiru.jp/attach2/696D67_E382A4E383ADE3838F5F69636F6E2E706E67.png
鬼怒川カスミ,Kasumi,Kinugawa,0524,https://bluearchive.wikiru.jp/attach2/48414C4FE4B880E8A6A7_48414C4F5FE382ABE382B9E3839F5FE4BBAE2E706E67.png,https://bluearchive.wikiru.jp/attach2/696D67_E382ABE382B9E3839F5F69636F6E2E706E67.png
聖園ミカ,Mika,Misono,0508,https://bluearchive.wikiru.jp/attach2/48414C4FE4B880E8A6A7_48414C4F5FE3839FE382AB2E706E67.png,https://bluearchive.wikiru.jp/attach2/696D67_E3839FE382AB5F69636F6E2E706E67.png
桐藤ナギサ,Nagisa,Kirifuji,0704,https://bluearchive.wikiru.jp/attach2/48414C4FE4B880E8A6A7_48414C4F5FE3838AE382AEE382B52E706E67.png,https://bluearchive.wikiru.jp/attach2/696D67_E3838AE382AEE382B55F69636F6E2E706E67.png
剣先ツルギ,Tsurugi,Kenzaki,0624,https://bluearchive.wikiru.jp/attach2/48414C4FE4B880E8A6A7_48414C4F5FE38384E383ABE382AE2E706E67.png,https://bluearchive.wikiru.jp/attach2/696D67_E38384E383ABE382AE5F69636F6E2E706E67.png
静山マシロ,Mashiro,Shizuyama,0605,https://bluearchive.wikiru.jp/attach2/48414C4FE4B880E8A6A7_48414C4F5FE3839EE382B7E383AD2E706E67.png,https://bluearchive.wikiru.jp/attach2/696D67_E3839EE382B7E383AD5F69636F6E2E706E67.png
仲正イチカ,Ichika,Nakamasa,1111,https://bluearchive.wikiru.jp/attach2/48414C4FE4B880E8A6A7_48414C4F5FE382A4E38381E382AB5FE4BBAE76322E706E67.png,https://bluearchive.wikiru.jp/attach2/696D67_E382A4E38381E382AB5F69636F6E2E706E67.png
羽川ハスミ,Hasumi,Hanekawa,1212,https://bluearchive.wikiru.jp/attach2/48414C4FE4B880E8A6A7_48414C4F5FE3838FE382B9E3839F2E706E67.png,https://bluearchive.wikiru.jp/attach2/696D67_E3838FE382B9E3839F5F69636F6E2E706E67.png
歌住サクラコ,Sakurako,Utazumi,1004,https://bluearchive.wikiru.jp/attach2/48414C4FE4B880E8A6A7_48414C4F5FE382B5E382AFE383A9E382B32E706E67.png,https://bluearchive.wikiru.jp/attach2/696D67_E382B5E382AFE383A9E382B35F69636F6E322E706E67.png
若葉ヒナタ,Hinata,Wakaba,0517,https://bluearchive.wikiru.jp/attach2/48414C4FE4B880E8A6A7_48414C4F5FE38392E3838AE382BF2E706E67.png,https://bluearchive.wikiru.jp/attach2/696D67_E38392E3838AE382BF5F69636F6E2E706E67.png
伊落マリー,Mari,Iochi,0912,https://bluearchive.wikiru.jp/attach2/48414C4FE4B880E8A6A7_48414C4F5FE3839EE383AAE383BC2E706E67.png,https://bluearchive.wikiru.jp/attach2/696D67_E3839EE383AAE383BC5F69636F6E2E706E67.png
古関ウイ,Ui,Kozeki,0423,https://bluearchive.wikiru.jp/attach2/48414C4FE4B880E8A6A7_48414C4F5FE382A6E382A42E706E67.png,https://bluearchive.wikiru.jp/attach2/696D67_E382A6E382A45F69636F6E2E706E67.png
円堂シミコ,Shimiko,Endo,1130,https://bluearchive.wikiru.jp/attach2/48414C4FE4B880E8A6A7_48414C4F5FE382B7E3839FE382B32E706E67.png,https://bluearchive.wikiru.jp/attach2/696D67_E382B7E3839FE382B35F69636F6E2E706E67.png
白洲アズサ,Azusa,Shirasu,1226,https://bluearchive.wikiru.jp/attach2/48414C4FE4B880E8A6A7_48414C4F5FE382A2E382BAE382B55F35303070782E706E67.png,https://bluearchive.wikiru.jp/attach2/696D67_E382A2E382BAE382B55F69636F6E2E706E67.png
下江コハル,Koharu,Shimoe,0416,https://bluearchive.wikiru.jp/attach2/48414C4FE4B880E8A6A7_48414C4F5FE382B3E3838FE383AB5F35303070782E706E67.png,https://bluearchive.wikiru.jp/attach2/696D67_E382B3E3838FE383AB5F69636F6E2E706E67.png
阿慈谷ヒフミ,Hifumi,Ajitani,1127,https://bluearchive.wikiru.jp/attach2/48414C4FE4B880E8A6A7_48414C4F5FE38392E38395E3839F2E706E67.png,https://bluearchive.wikiru.jp/attach2/696D67_E38392E38395E3839F5F69636F6E2E706E67.png
浦和ハナコ,Hanako,Urawa,0103,https://bluearchive.wikiru.jp/attach2/48414C4FE4B880E8A6A7_48414C4F5FE3838FE3838AE382B35F35303070782E706E67.png,https://bluearchive.wikiru.jp/attach2/696D67_E3838FE3838AE382B35F69636F6E2E706E67.png
柚鳥ナツ,Natsu,Yutori,1204,https://bluearchive.wikiru.jp/attach2/48414C4FE4B880E8A6A7_48414C4F5FE3838AE383842E706E67.png,https://bluearchive.wikiru.jp/attach2/696D67_E3838AE383845F69636F6E2E706E67.png
杏山カズサ,Kazusa,Kyouyama,0805,https://bluearchive.wikiru.jp/attach2/48414C4FE4B880E8A6A7_48414C4F5F69636F6E5FE382ABE382BAE382B52E706E67.png,https://bluearchive.wikiru.jp/attach2/696D67_E382ABE382BAE382B55F69636F6E322E706E67.png
栗村アイリ,Airi,Kurimura,0130,https://bluearchive.wikiru.jp/attach2/48414C4FE4B880E8A6A7_48414C4F5FE382A2E382A4E383AA2E706E67.png,https://bluearchive.wikiru.jp/attach2/696D67_E382A2E382A4E383AA5F69636F6E2E706E67.png
伊原木ヨシミ,Yoshimi,Ibaragi,0829,https://bluearchive.wikiru.jp/attach2/48414C4FE4B880E8A6A7_48414C4F5FE383A8E382B7E3839F2E706E67.png,https://bluearchive.wikiru.jp/attach2/696D67_E383A8E382B7E3839F5F69636F6E2E706E67.png
蒼森ミネ,Mine,Aomori,1123,https://bluearchive.wikiru.jp/attach2/48414C4FE4B880E8A6A7_48414C4F5FE3839FE3838D2E706E67.png,https://bluearchive.wikiru.jp/attach2/696D67_E3839FE3838D5F69636F6E2E706E67.png
朝顔ハナエ,Hanae,Asagao,0512,https://bluearchive.wikiru.jp/attach2/48414C4FE4B880E8A6A7_48414C4F5FE3838FE3838AE382A82E706E67.png,https://bluearchive.wikiru.jp/attach2/696D67_E3838FE3838AE382A85F69636F6E2E706E67.png
鷲見セリナ,Serina,Sumi,0106,https://bluearchive.wikiru.jp/attach2/48414C4FE4B880E8A6A7_48414C4F5FE382BBE383AAE3838A2E706E67.png,https://bluearchive.wikiru.jp/attach2/696D67_E382BBE383AAE3838A5F69636F6E2E706E67.png
守月スズミ,Suzumi,Morizuki,0831,https://bluearchive.wikiru.jp/attach2/48414C4FE4B880E8A6A7_48414C4F5FE382B9E382BAE3839F2E706E67.png,https://bluearchive.wikiru.jp/attach2/696D67_E382B9E382BAE3839F5F69636F6E2E706E67.png
宇沢レイサ,Reisa,Uzawa,0531,https://bluearchive.wikiru.jp/attach2/48414C4FE4B880E8A6A7_48414C4F5FE383ACE382A4E382B52E706E67.png,https://bluearchive.wikiru.jp/attach2/696D67_E383ACE382A4E382B55F69636F6E2E706E67.png
生塩ノア,Noa,Ushio,0413,https://bluearchive.wikiru.jp/attach2/48414C4FE4B880E8A6A7_48414C4F5FE3838EE382A22E706E67.png,https://bluearchive.wikiru.jp/attach2/696D67_E3838EE382A25F69636F6E2E706E67.png
黒崎コユキ,Koyuki,Kurosaki,0214,https://bluearchive.wikiru.jp/attach2/4E504348414C4FE4B880E8A6A7_48414C4F5FE382B3E383A6E382AD5FE4BBAE2E706E67.png,https://bluearchive.wikiru.jp/attach2/696D67_E382B3E383A6E382AD5F69636F6E2E706E67.png
早瀬ユウカ,Yuuka,Hayase,0314,https://bluearchive.wikiru.jp/attach2/48414C4FE4B880E8A6A7_48414C4F5FE383A6E382A6E382AB2E706E67.png,https://bluearchive.wikiru.jp/attach2/696D67_E383A6E382A6E382AB5F69636F6E2E706E67.png
天童アリス,Aris,Tendou,0325,https://bluearchive.wikiru.jp/attach2/48414C4FE4B880E8A6A7_48414C4F5FE382A2E383AAE382B92E706E67.png,https://bluearchive.wikiru.jp/attach2/696D67_E382A2E383AAE382B95F69636F6E2E706E67.png
花岡ユズ,Yuzu,Hanaoka,0812,https://bluearchive.wikiru.jp/attach2/48414C4FE4B880E8A6A7_48414C4F5FE383A6E382BA2E706E67.png,https://bluearchive.wikiru.jp/attach2/696D67_E383A6E382BA5F69636F6E2E706E67.png
才羽ミドリ,Midori,Saiba,1208,https://bluearchive.wikiru.jp/attach2/48414C4FE4B880E8A6A7_48414C4F5FE3839FE38389E383AA2E706E67.png,https://bluearchive.wikiru.jp/attach2/696D67_E3839FE38389E383AA5F69636F6E2E706E67.png
才羽モモイ,Momoi,Saiba,1208,https://bluearchive.wikiru.jp/attach2/48414C4FE4B880E8A6A7_48414C4F5FE383A2E383A2E382A42E706E67.png,https://bluearchive.wikiru.jp/attach2/696D67_E383A2E383A2E382A45F69636F6E2E706E67.png
美甘ネル,Neru,Mikamo,0817,https://bluearchive.wikiru.jp/attach2/48414C4FE4B880E8A6A7_48414C4F5FE3838DE383AB2E706E67.png,https://bluearchive.wikiru.jp/attach2/696D67_E3838DE383AB5F69636F6E2E706E67.png
角楯カリン,Karin,Kakudate,0202,https://bluearchive.wikiru.jp/attach2/48414C4FE4B880E8A6A7_48414C4F5FE382ABE383AAE383B32E706E67.png,https://bluearchive.wikiru.jp/attach2/696D67_E382ABE383AAE383B35F69636F6E2E706E67.png
室笠アカネ,Akane,Murokasa,0401,https://bluearchive.wikiru.jp/attach2/48414C4FE4B880E8A6A7_48414C4F5FE382A2E382ABE3838D2E706E67.png,https://bluearchive.wikiru.jp/attach2/696D67_E382A2E382ABE3838D5F69636F6E2E706E67.png
一之瀬アスナ,Asuna,Ichinose,0324,https://bluearchive.wikiru.jp/attach2/48414C4FE4B880E8A6A7_48414C4F5FE382A2E382B9E3838A2E706E67.png,https://bluearchive.wikiru.jp/attach2/696D67_E382A2E382B9E3838A5F69636F6E2E706E67.png
飛鳥馬トキ,Toki,Asuma,0816,https://bluearchive.wikiru.jp/attach2/48414C4FE4B880E8A6A7_48414C4F5FE38388E382AD2E706E67.png,https://bluearchive.wikiru.jp/attach2/696D67_E38388E382AD5F69636F6E2E706E67.png
猫塚ヒビキ,Hibiki,Nekozuka,0402,https://bluearchive.wikiru.jp/attach2/48414C4FE4B880E8A6A7_48414C4F5FE38392E38393E382AD2E706E67.png,https://bluearchive.wikiru.jp/attach2/696D67_E38392E38393E382AD5F69636F6E2E706E67.png
白石ウタハ,Utaha,Shiraishi,1113,https://bluearchive.wikiru.jp/attach2/48414C4FE4B880E8A6A7_48414C4F5FE382A6E382BFE3838F76322E706E67.png,https://bluearchive.wikiru.jp/attach2/696D67_E382A6E382BFE3838F5F69636F6E2E706E67.png
豊見コトリ,Kotori,Toyomi,1231,https://bluearchive.wikiru.jp/attach2/48414C4FE4B880E8A6A7_48414C4F5FE382B3E38388E383AA2E706E67.png,https://bluearchive.wikiru.jp/attach2/696D67_E382B3E38388E383AA5F69636F6E2E706E67.png
各務チヒロ,Chihiro,Kagami,0426,https://bluearchive.wikiru.jp/attach2/48414C4FE4B880E8A6A7_48414C4F5FE38381E38392E383AD76322E706E67.png,https://bluearchive.wikiru.jp/attach2/696D67_E38381E38392E383AD5F69636F6E2E706E67.png
小塗マキ,Maki,Konuri,0801,https://bluearchive.wikiru.jp/attach2/48414C4FE4B880E8A6A7_48414C4F5FE3839EE382AD2E706E67.png,https://bluearchive.wikiru.jp/attach2/696D67_E3839EE382AD5F69636F6E2E706E67.png
小鈎ハレ,Hare,Omagari,0419,https://bluearchive.wikiru.jp/attach2/48414C4FE4B880E8A6A7_48414C4F5FE3838FE383AC2E706E67.png,https://bluearchive.wikiru.jp/attach2/696D67_E3838FE383AC5F69636F6E2E706E67.png
音瀬コタマ,Kotama,Otose,0105,https://bluearchive.wikiru.jp/attach2/48414C4FE4B880E8A6A7_48414C4F5FE382B3E382BFE3839E2E706E67.png,https://bluearchive.wikiru.jp/attach2/696D67_E382B3E382BFE3839E5F69636F6E2E706E67.png
乙花スミレ,Sumire,Otohana,0820,https://bluearchive.wikiru.jp/attach2/48414C4FE4B880E8A6A7_48414C4F5FE382B9E3839FE383AC2E706E67.png,https://bluearchive.wikiru.jp/attach2/696D67_E382B9E3839FE383AC5F69636F6E2E706E67.png
和泉元エイミ,Eimi,Izumimoto,0501,https://bluearchive.wikiru.jp/attach2/48414C4FE4B880E8A6A7_48414C4F5FE382A8E382A4E3839F2E706E67.png,https://bluearchive.wikiru.jp/attach2/696D67_E382A8E382A4E3839F5F69636F6E2E706E67.png
明星ヒマリ,Himari,Akeboshi,1210,https://bluearchive.wikiru.jp/attach2/48414C4FE4B880E8A6A7_48414C4F5FE38392E3839EE383AA76322E706E67.png,https://bluearchive.wikiru.jp/attach2/696D67_E38392E3839EE383AA5F69636F6E2E706E67.png
連河チェリノ,Cherino,Renkawa,1027,https://bluearchive.wikiru.jp/attach2/48414C4FE4B880E8A6A7_48414C4F5FE38381E382A7E383AAE3838E2E706E67.png,https://bluearchive.wikiru.jp/attach2/696D67_E38381E382A7E383AAE3838E5F69636F6E2E706E67.png
池倉マリナ,Marina,Ikekura,1104,https://bluearchive.wikiru.jp/attach2/48414C4FE4B880E8A6A7_48414C4F5FE3839EE383AAE3838A2E706E67.png,https://bluearchive.wikiru.jp/attach2/696D67_E3839EE383AAE3838A5FE4BBAE69636F6E2E706E67.png
佐城トモエ,Tomoe,Sashiro,1110,https://bluearchive.wikiru.jp/attach2/48414C4FE4B880E8A6A7_48414C4F5FE38388E383A2E382A82E706E67.png,https://bluearchive.wikiru.jp/attach2/696D67_E38388E383A2E382A85FE4BBAE69636F6E2E706E67.png
間宵シグレ,Shigure,Mayoi,0122,https://bluearchive.wikiru.jp/attach2/48414C4FE4B880E8A6A7_48414C4F5FE382B7E382B0E383AC2E706E67.png,https://bluearchive.wikiru.jp/attach2/696D67_E382B7E382B0E383AC5F69636F6E2E706E67.png
天見ノドカ,Nodoka,Amami,0220,https://bluearchive.wikiru.jp/attach2/48414C4FE4B880E8A6A7_48414C4F5FE3838EE38389E382AB2E706E67.png,https://bluearchive.wikiru.jp/attach2/696D67_E3838EE38389E382AB5F69636F6E2E706E67.png
安守ミノリ,Minori,Yasumori,0714,https://bluearchive.wikiru.jp/attach2/48414C4FE4B880E8A6A7_48414C4F5FE3839FE3838EE383AA2E706E67.png,https://bluearchive.wikiru.jp/attach2/696D67_E3839FE3838EE383AA5F69636F6E2E706E67.png
姫木メル,Meru,Himeki,1221,https://bluearchive.wikiru.jp/attach2/48414C4FE4B880E8A6A7_48414C4F5FE383A1E383AB5FE4BBAE2E706E67.png,https://bluearchive.wikiru.jp/attach2/696D67_E383A1E383AB5F69636F6E322E706E67.png
秋泉モミジ,Momiji,Akiizumi,0807,https://bluearchive.wikiru.jp/attach2/48414C4FE4B880E8A6A7_48414C4F5FE383A2E3839FE382B85FE4BBAE2E706E67.png,https://bluearchive.wikiru.jp/attach2/696D67_E383A2E3839FE382B85F69636F6E322E706E67.png
近衛ミナ,Mina,Konoe,0909,https://bluearchive.wikiru.jp/attach2/48414C4FE4B880E8A6A7_48414C4F5FE3839FE3838A2E706E67.png,https://bluearchive.wikiru.jp/attach2/696D67_E3839FE3838A5F69636F6E2E706E67.png
朱城ルミ,Rumi,Akeshiro,0305,https://bluearchive.wikiru.jp/attach2/4E504348414C4FE4B880E8A6A7_48414C4F5FE383ABE3839F5FE4BBAE2E706E67.png,https://bluearchive.wikiru.jp/attach2/696D67_E383ABE3839F5F69636F6E2E706E67.png
薬子サヤ,Saya,Yakushi,0103,https://bluearchive.wikiru.jp/attach2/48414C4FE4B880E8A6A7_48414C4F5FE382B5E383A42E706E67.png,https://bluearchive.wikiru.jp/attach2/696D67_E382B5E383A45F69636F6E2E706E67.png
春原シュン,Shun,Sunohara,0205,https://bluearchive.wikiru.jp/attach2/48414C4FE4B880E8A6A7_48414C4F5FE382B7E383A5E383B376322E706E67.png,https://bluearchive.wikiru.jp/attach2/696D67_E382B7E383A5E383B35F69636F6E2E706E67.png
春原ココナ,Kokona,Sunohara,0601,https://bluearchive.wikiru.jp/attach2/48414C4FE4B880E8A6A7_48414C4F5FE382B3E382B3E3838A76322E706E67.png,https://bluearchive.wikiru.jp/attach2/696D67_E382B3E382B3E3838A5F69636F6E2E706E67.png
河和シズコ,Shizuko,Kawawa,0707,https://bluearchive.wikiru.jp/attach2/48414C4FE4B880E8A6A7_48414C4F5FE382B7E382BAE382B32E706E67.png,https://bluearchive.wikiru.jp/attach2/696D67_E382B7E382BAE382B35F69636F6E2E706E67.png
朝比奈フィーナ,Pina,Asahina,1103,https://bluearchive.wikiru.jp/attach2/48414C4FE4B880E8A6A7_48414C4F5FE38395E382A3E383BCE3838A2E706E67.png,https://bluearchive.wikiru.jp/attach2/696D67_E38395E382A3E383BCE3838A5F69636F6E2E706E67.png
久田イズナ,Izuna,Kuda,1216,https://bluearchive.wikiru.jp/attach2/48414C4FE4B880E8A6A7_48414C4F5FE382A4E382BAE3838A2E706E67.png,https://bluearchive.wikiru.jp/attach2/696D67_E382A4E382BAE3838A5F69636F6E2E706E67.png
大野ツクヨ,Tsukuyo,Oono,0405,https://bluearchive.wikiru.jp/attach2/48414C4FE4B880E8A6A7_48414C4F5FE38384E382AFE383A8322E706E67.png,https://bluearchive.wikiru.jp/attach2/696D67_E38384E382AFE383A85F69636F6E2E706E67.png
千鳥ミチル,Michiru,Chidori,0222,https://bluearchive.wikiru.jp/attach2/48414C4FE4B880E8A6A7_48414C4F5FE3839FE38381E383AB5F322E706E67.png,https://bluearchive.wikiru.jp/attach2/696D67_E3839FE38381E383AB5F69636F6E2E706E67.png
桑上カホ,Kaho,Kuwakami,1009,https://bluearchive.wikiru.jp/attach2/4E504348414C4FE4B880E8A6A7_48414C4F5FE382ABE3839B5FE4BBAE2E706E67.png,https://bluearchive.wikiru.jp/attach2/696D67_E382ABE3839B5F69636F6E2E706E67.png
和楽チセ,Chise,Waraku,0713,https://bluearchive.wikiru.jp/attach2/48414C4FE4B880E8A6A7_48414C4F5FE38381E382BB2E706E67.png,https://bluearchive.wikiru.jp/attach2/696D67_E38381E382BB5F69636F6E2E706E67.png
水羽ミモリ,Mimori,Mizuha,0315,https://bluearchive.wikiru.jp/attach2/48414C4FE4B880E8A6A7_48414C4F5FE3839FE383A2E383AA2E706E67.png,https://bluearchive.wikiru.jp/attach2/696D67_E3839FE383A2E383AA5FE4BBAE69636F6E2E706E67.png
勇美カエデ,Kaede,Isami,0709,https://bluearchive.wikiru.jp/attach2/48414C4FE4B880E8A6A7_48414C4F5FE382ABE382A8E38387322E706E67.png,https://bluearchive.wikiru.jp/attach2/696D67_E382ABE382A8E383875FE4BBAE69636F6E2E706E67.png
春日ツバキ,Tsubaki,Kasuga,0203,https://bluearchive.wikiru.jp/attach2/48414C4FE4B880E8A6A7_48414C4F5FE38384E38390E382AD2E706E67.png,https://bluearchive.wikiru.jp/attach2/696D67_E38384E38390E382AD5F69636F6E2E706E67.png
狐坂ワカモ,Wakamo,Kosaka,0403,https://bluearchive.wikiru.jp/attach2/48414C4FE4B880E8A6A7_48414C4F5FE383AFE382ABE383A276322E706E67.png,https://bluearchive.wikiru.jp/attach2/696D67_E383AFE382ABE383A25FE4BBAE69636F6E2E706E67.png
月雪ミヤコ,Miyako,Tsukiyuki,0107,https://bluearchive.wikiru.jp/attach2/48414C4FE4B880E8A6A7_48414C4F5FE3839FE383A4E382B32E706E67.png,https://bluearchive.wikiru.jp/attach2/696D67_E3839FE383A4E382B35F69636F6E2E706E67.png
空井サキ,Saki,Sorai,0409,https://bluearchive.wikiru.jp/attach2/48414C4FE4B880E8A6A7_48414C4F5FE382B5E382AD2E706E67.png,https://bluearchive.wikiru.jp/attach2/696D67_E382B5E382AD5F69636F6E322E706E67.png
風倉モエ,Moe,Kazekura,0913,https://bluearchive.wikiru.jp/attach2/48414C4FE4B880E8A6A7_48414C4F5FE383A2E382A82E706E67.png,https://bluearchive.wikiru.jp/attach2/696D67_E383A2E382A85F69636F6E2E706E67.png
霞沢ミユ,Miyu,Kasumizawa,0712,https://bluearchive.wikiru.jp/attach2/48414C4FE4B880E8A6A7_48414C4F5FE3839FE383A62E706E67.png,https://bluearchive.wikiru.jp/attach2/696D67_E3839FE383A65F69636F6E2E706E67.png
錠前サオリ,Saori,Joumae,0903,https://bluearchive.wikiru.jp/attach2/48414C4FE4B880E8A6A7_48414C4F5FE382B5E382AAE383AA2E706E67.png,https://bluearchive.wikiru.jp/attach2/696D67_E382B5E382AAE383AA5F69636F6E2E706E67.png
秤アツコ,Atsuko,Hakari,0120,https://bluearchive.wikiru.jp/attach2/48414C4FE4B880E8A6A7_48414C4F5FE382A2E38384E382B376322E706E67.png,https://bluearchive.wikiru.jp/attach2/696D67_E382A2E38384E382B35F69636F6E2E706E67.png
戒野ミサキ,Misaki,Imashino,0113,https://bluearchive.wikiru.jp/attach2/48414C4FE4B880E8A6A7_48414C4F5FE3839FE382B5E382AD76322E706E67.png,https://bluearchive.wikiru.jp/attach2/696D67_E3839FE382B5E382AD5F69636F6E2E706E67.png
